part;vendor;datasheet;density;width;voltage;footprint_default;footprint_filters;temperature;ce;page_size;block_size;cells;speed;alias
TC58NVG1S3HTAI0;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG1S3HTAI0;2G;;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to 85°C;;2048+128;128K+8K;SLC;;
TC58NVG2S0HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG2S0HBAI4;4G;;"{""Vcc"":""2.7 to 3.6V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;4096+256;256K+16K;SLC;;
TC58NVG2S0HTA00;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG2S0HTA00;4G;;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to 70°C;;4096+256;256K+16K;SLC;;
TC58NVG2S0HTAI0;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG2S0HTAI0;4G;;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to 85°C;;4096+256;256K+16K;SLC;;
TC58NYG0S3HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NYG0S3HBAI4;1G;;"{""Vcc"":""1.7 to 1.95V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;2048+128;128K+8K;SLC;;
TC58NYG1S3HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NYG1S3HBAI4;2G;;"{""Vcc"":""1.7 to 1.95V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;2048+128;128K+8K;SLC;;
TC58NYG2S0HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NYG2S0HBAI4;4G;;"{""Vcc"":""1.7 to 1.95V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;4096+256;256K+16K;SLC;;
TH58NVG3S0HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TH58NVG3S0HBAI4;8G(4Gx2);;"{""Vcc"":""2.7 to 3.6V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;4096+256;256K+16K;SLC;;
TH58NVG3S0HTA00;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TH58NVG3S0HTA00;8G(4Gx2);;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to 70°C;;4096+256;256K+16K;SLC;;
TH58NVG3S0HTAI0;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TH58NVG3S0HTAI0;8G(4Gx2);;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to 85°C;;4096+256;256K+16K;SLC;;
TH58NVG4S0HTA20;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TH58NVG4S0HTA20;16G(4Gx4);;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to 70°C;;4096+256;256K+16K;SLC;;
TH58NVG4S0HTAK0;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TH58NVG4S0HTAK0;16G(4Gx4);;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to 85°C;;4096+256;256K+16K;SLC;;
TH58NYG3S0HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TH58NYG3S0HBAI4;8G(4Gx2);;"{""Vcc"":""1.7 to 1.95V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;4096+256;256K+16K;SLC;;
